Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
TOYOTA	Prius	0.000000	0.000000	0.000000	1.000000	1.500000	4.000000	60.000000	51.000000	0.000000	0.000000	1.000000
HONDA	Civic Hybrid	0.000000	0.000000	0.000000	1.000000	1.300000	4.000000	48.000000	47.000000	0.000000	0.000000	1.000000
HONDA	Civic Hybrid	0.000000	0.000000	0.000000	1.000000	1.300000	4.000000	47.000000	48.000000	0.000000	0.000000	1.000000
HONDA	Civic Hybrid	0.000000	0.000000	0.000000	0.000000	1.300000	4.000000	46.000000	51.000000	0.000000	0.000000	1.000000
HONDA	Civic Hybrid	0.000000	0.000000	0.000000	0.000000	1.300000	4.000000	45.000000	51.000000	0.000000	0.000000	1.000000
VOLKSWAGEN	Golf	0.000000	0.000000	0.000000	0.000000	1.900000	4.000000	38.000000	46.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	0.000000	1.900000	4.000000	38.000000	46.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle	0.000000	0.000000	0.000000	0.000000	1.900000	4.000000	38.000000	46.000000	0.000000	0.000000	0.000000
FORD	Escape HEV 2WD	0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	36.000000	31.000000	1.000000	0.000000	1.000000
HONDA	Civic	0.000000	0.000000	0.000000	0.000000	1.700000	4.000000	36.000000	44.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta Wagon	0.000000	1.000000	0.000000	0.000000	1.900000	4.000000	36.000000	43.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	1.000000	1.700000	4.000000	35.000000	40.000000	0.000000	0.000000	0.000000
TOYOTA	Echo	0.000000	0.000000	0.000000	0.000000	1.500000	4.000000	35.000000	42.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	1.000000	1.900000	4.000000	35.000000	42.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	New Beetle	0.000000	0.000000	0.000000	1.000000	1.900000	4.000000	35.000000	42.000000	0.000000	0.000000	0.000000
FORD	Escape HEV 4WD	0.000000	0.000000	0.000000	1.000000	2.300000	4.000000	33.000000	29.000000	1.000000	0.000000	1.000000
TOYOTA	Echo	0.000000	0.000000	0.000000	1.000000	1.500000	4.000000	33.000000	39.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	0.000000	1.700000	4.000000	32.000000	38.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	0.000000	1.700000	4.000000	32.000000	37.000000	0.000000	0.000000	0.000000
SCION	xA	0.000000	0.000000	0.000000	0.000000	1.500000	4.000000	32.000000	37.000000	0.000000	0.000000	0.000000
TOYOTA	Corolla	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	32.000000	41.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Golf	0.000000	0.000000	0.000000	1.000000	1.900000	4.000000	32.000000	43.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta	0.000000	0.000000	0.000000	1.000000	1.900000	4.000000	32.000000	43.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Jetta Wagon	0.000000	1.000000	0.000000	1.000000	1.900000	4.000000	32.000000	43.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	1.000000	1.700000	4.000000	31.000000	38.000000	0.000000	0.000000	0.000000
SCION	xA	0.000000	0.000000	0.000000	1.000000	1.500000	4.000000	31.000000	38.000000	0.000000	0.000000	0.000000
SCION	xB	0.000000	1.000000	0.000000	1.000000	1.500000	4.000000	31.000000	35.000000	0.000000	0.000000	0.000000
SCION	xB	0.000000	1.000000	0.000000	0.000000	1.500000	4.000000	31.000000	34.000000	0.000000	0.000000	0.000000
PONTIAC	Vibe	0.000000	1.000000	0.000000	0.000000	1.800000	4.000000	30.000000	36.000000	0.000000	0.000000	0.000000
TOYOTA	Corolla	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	30.000000	38.000000	0.000000	0.000000	0.000000
TOYOTA	Matrix	0.000000	1.000000	0.000000	0.000000	1.800000	4.000000	30.000000	36.000000	0.000000	0.000000	0.000000
HONDA	Accord Hybrid	0.000000	0.000000	0.000000	1.000000	3.000000	6.000000	29.000000	37.000000	0.000000	0.000000	1.000000
DODGE	Neon/SRT-4/SX 2	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	29.000000	36.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	1.000000	1.700000	4.000000	29.000000	38.000000	0.000000	0.000000	0.000000
HYUNDAI	Accent/Brio	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	29.000000	33.000000	0.000000	0.000000	0.000000
PONTIAC	Vibe	0.000000	1.000000	0.000000	1.000000	1.800000	4.000000	29.000000	34.000000	0.000000	0.000000	0.000000
TOYOTA	Celica	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	29.000000	36.000000	0.000000	0.000000	0.000000
HYUNDAI	Accent/Brio	0.000000	0.000000	0.000000	0.000000	1.500000	4.000000	28.000000	36.000000	0.000000	0.000000	0.000000
MAZDA		0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	28.000000	35.000000	0.000000	0.000000	0.000000
MINI	Cooper	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	28.000000	36.000000	0.000000	0.000000	0.000000
NISSAN	Sentra	0.000000	0.000000	0.000000	1.000000	1.800000	4.000000	28.000000	34.000000	0.000000	0.000000	0.000000
NISSAN	Sentra	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	28.000000	35.000000	0.000000	0.000000	0.000000
TOYOTA	Matrix	0.000000	1.000000	0.000000	1.000000	1.800000	4.000000	28.000000	34.000000	0.000000	0.000000	0.000000
MERCEDES-BENZ	E320 CDI	0.000000	0.000000	0.000000	1.000000	3.200000	6.000000	27.000000	37.000000	0.000000	0.000000	0.000000
ACURA	RSX	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	27.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Aveo	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
CHEVROLET	Aveo 5	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
HYUNDAI	Accent/Brio	0.000000	0.000000	0.000000	1.000000	1.500000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
HYUNDAI	Elantra	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	27.000000	34.000000	0.000000	0.000000	0.000000
MINI	Cooper Conv	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
MITSUBISHI	Lancer	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	27.000000	34.000000	0.000000	0.000000	0.000000
